v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
97.2,,Aug-23,Aug-23,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
97.2,,Sep-23,Sep-23,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
97.4,,Oct-23,Oct-23,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
97.6,,Nov-23,Nov-23,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
93.5,,Dec-23,Dec-23,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
97.7,,Jan-24,Jan-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
97.1,,Feb-24,Feb-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
95.9,,Mar-24,Mar-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
95.2,,Apr-24,Apr-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
96.4,,May-24,May-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
94.6,,Jun-24,Jun-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
95.6,,Jul-24,Jul-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
97.7,,Aug-24,Aug-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
95.1,,Sep-24,Sep-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
94.7,,Oct-24,Oct-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
94.9,,Nov-24,Nov-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
93.0,,Dec-24,Dec-24,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
98.1,,Jan-25,Jan-25,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
95.9,,Feb-25,Feb-25,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
93.8,,Mar-25,Mar-25,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
98.6,,Apr-25,Apr-25,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
93.3,,May-25,May-25,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
93.9,,Jun-25,Jun-25,K03000001,Great Britain,predominantly-food-stores,Predominantly food stores,chained-volume-of-retail-sales,Chained volume of retail sales,seasonal-adjustment,Seasonally Adjusted
